Line#,Date,"Temperature (S-THB 20148981:20147576-1), *C, USDA-WS6","PAR (S-LIA 20148981:20140001-1), uE, USDA-WS6","RH (S-THB 20148981:20147576-2), %, USDA-WS6","Temperature (S-TMB 20148981:20130466-1), *C, USDA-WS6","Solar Radiation (S-LIB 20148981:20142891-1), W/m^2, USDA-WS6","Dew Point (S-THB 20148981:20147576-3), *C, USDA-WS6","Water Content (S-SMD 20148981:20152203-1), m^3/m^3, USDA-WS6","Rain (S-RGB 20148981:20148771-1), mm, USDA-WS6","Battery (RX3000 BATTERY 20148981:20148981-B), V, USDA-WS6"
1763,04/30/18 01:00:00,21.32,244,99.2,21.44,139,21.22,0.4416,0,4.408
1764,04/30/18 01:05:00,21.22,194,98.9,21.44,113,21.07,0.4416,0,4.405
1765,04/30/18 01:10:00,21.22,246,98.8,21.44,143,21.05,0.4408,0,4.402
1766,04/30/18 01:15:00,21.22,234,98.9,21.44,137,21.07,0.4408,0,4.398
1767,04/30/18 01:20:00,21.37,251,98.8,21.44,144,21.2,0.4408,0,4.439
1768,04/30/18 01:25:00,21.41,211,98.6,21.46,122,21.21,0.4401,0,4.469
1769,04/30/18 01:30:00,21.17,211,98.3,21.46,121,20.92,0.4401,0,4.466
1770,04/30/18 01:35:00,21.32,226,98.3,21.44,129,21.07,0.4401,0,4.45
1771,04/30/18 01:40:00,21.25,171,98.3,21.44,98,21,0.4401,0,4.444
1772,04/30/18 01:45:00,21.2,229,98.2,21.44,129,20.93,0.4401,0,4.436
1773,04/30/18 01:50:00,21.39,221,98.1,21.44,124,21.11,0.4401,0,4.43
1774,04/30/18 01:55:00,21.41,171,98.1,21.44,97,21.13,0.4394,0,4.426
1775,04/30/18 02:00:00,21.32,149,97.9,21.44,87,21,0.4394,0,4.423
1776,04/30/18 02:05:00,21.2,124,98,21.46,74,20.9,0.4394,0,4.418
1777,04/30/18 02:10:00,21.25,156,98,21.46,89,20.95,0.4387,0,4.414
1778,04/30/18 02:15:00,21.1,111,97.9,21.46,66,20.79,0.4387,0,4.411
1779,04/30/18 02:20:00,20.96,106,98,21.46,63,20.66,0.4387,0,4.408
1780,04/30/18 02:25:00,20.84,104,98,21.46,61,20.54,0.4387,0,4.4
1781,04/30/18 02:30:00,20.84,99,98,21.44,61,20.54,0.4387,0,4.383
1782,04/30/18 02:35:00,20.96,161,98.1,21.44,94,20.68,0.4387,0,4.406
1783,04/30/18 02:40:00,21.01,224,97.9,21.41,128,20.69,0.438,0,4.466
1784,04/30/18 02:45:00,21.22,236,98.1,21.41,137,20.94,0.438,0,4.474
1785,04/30/18 02:50:00,21.34,184,98.1,21.41,107,21.06,0.438,0,4.456
1786,04/30/18 02:55:00,21.25,176,97.8,21.41,102,20.91,0.4373,0,4.447
1787,04/30/18 03:00:00,21.17,159,97.5,21.41,92,20.79,0.438,0,4.439
1788,04/30/18 03:05:00,21.17,119,97.4,21.41,69,20.77,0.438,0,4.433
1789,04/30/18 03:10:00,21.22,129,97.6,21.41,73,20.86,0.4373,0,4.427
1790,04/30/18 03:15:00,21.22,116,97.3,21.41,66,20.81,0.4373,0,4.424
1791,04/30/18 03:20:00,21.15,61,97.3,21.41,33,20.73,0.4373,0,4.418
1792,04/30/18 03:25:00,21.03,34,97.3,21.41,19,20.61,0.4373,0,4.415
1793,04/30/18 03:30:00,20.86,24,97.4,21.41,14,20.46,0.4373,0,4.412
1794,04/30/18 03:35:00,20.82,44,97.6,21.39,24,20.45,0.4373,0,4.408
1795,04/30/18 03:40:00,20.79,49,97.6,21.39,27,20.43,0.4373,0,4.405
1796,04/30/18 03:45:00,20.82,36,97.7,21.34,22,20.47,0.4373,0,4.402
1797,04/30/18 03:50:00,20.86,39,97.9,21.34,22,20.55,0.4373,0,4.4
1798,04/30/18 03:55:00,20.77,31,98,21.34,18,20.47,0.4367,0,4.402
1799,04/30/18 04:00:00,20.77,36,98,21.32,22,20.47,0.4373,0,4.412
1800,04/30/18 04:05:00,20.67,34,98,21.32,19,20.37,0.4373,0,4.43
1801,04/30/18 04:10:00,20.53,29,97.9,21.29,17,20.21,0.4367,0,4.442
1802,04/30/18 04:15:00,20.53,29,98,21.27,17,20.23,0.4367,0,4.442
1803,04/30/18 04:20:00,20.48,26,97.9,21.25,16,20.17,0.4367,0,4.432
1804,04/30/18 04:25:00,20.51,14,98.1,21.22,8,20.22,0.436,0,4.426
1805,04/30/18 04:30:00,20.46,6,98,21.2,4,20.16,0.4367,0,4.421
1806,04/30/18 04:35:00,20.44,4,98,21.17,2,20.14,0.436,0,4.417
1807,04/30/18 04:40:00,20.36,1,97.9,21.17,1,20.05,0.4353,0,4.412
1808,04/30/18 04:45:00,20.41,1,97.9,21.15,1,20.1,0.436,0,4.409
1809,04/30/18 04:50:00,20.39,1,97.8,21.13,1,20.06,0.4353,0,4.406
1810,04/30/18 04:55:00,20.36,1,97.9,21.13,1,20.05,0.4353,0,4.403
1811,04/30/18 05:00:00,20.32,1,97.9,21.1,1,20,0.4353,0,4.4
1812,04/30/18 05:05:00,20.36,1,97.9,21.1,1,20.05,0.436,0,4.398
1813,04/30/18 05:10:00,20.36,1,98,21.1,1,20.06,0.4353,0,4.395
1814,04/30/18 05:15:00,20.32,1,98.1,21.08,1,20.03,0.436,0,4.394
1815,04/30/18 05:20:00,20.36,1,98.1,21.06,1,20.08,0.4353,0,4.392
1816,04/30/18 05:25:00,20.32,1,98,21.06,1,20.02,0.4353,0,4.391
1817,04/30/18 05:30:00,20.34,1,98,21.06,1,20.04,0.436,0,4.388
1818,04/30/18 05:35:00,20.41,1,98,21.06,1,20.11,0.4353,0,4.386
1819,04/30/18 05:40:00,20.34,1,98.1,21.06,1,20.06,0.4353,0,4.386
1820,04/30/18 05:45:00,20.2,1,98.1,21.06,1,19.91,0.436,0,4.385
1821,04/30/18 05:50:00,20.15,1,98.3,21.03,1,19.9,0.4353,0,4.383
1822,04/30/18 05:55:00,20.15,1,98.5,21.01,1,19.93,0.4353,0,4.382
1823,04/30/18 06:00:00,20.1,1,98.6,21.01,1,19.9,0.4353,0,4.38
1824,04/30/18 06:05:00,20.06,1,98.8,21.03,1,19.89,0.4353,0,4.379
1825,04/30/18 06:10:00,20.06,1,98.8,21.01,1,19.89,0.4353,0,4.377
1826,04/30/18 06:15:00,20.1,1,99,21.01,1,19.97,0.4353,0,4.377
1827,04/30/18 06:20:00,20.13,1,99,21.01,1,19.99,0.436,0,4.376
1828,04/30/18 06:25:00,20.06,1,99.1,21.01,1,19.94,0.4353,0,4.371
1829,04/30/18 06:30:00,20.06,1,99.3,21.03,1,19.97,0.436,0,4.35
1830,04/30/18 06:35:00,20.06,1,99.3,21.03,1,19.97,0.436,0,4.337
1831,04/30/18 06:40:00,20.01,1,99.4,21.03,1,19.94,0.436,0,4.344
1832,04/30/18 06:45:00,19.94,1,99.4,21.03,1,19.87,0.4367,0,4.347
1833,04/30/18 06:50:00,19.94,1,99.5,21.06,1,19.88,0.436,0,4.35
1834,04/30/18 06:55:00,19.98,1,99.6,21.06,1,19.95,0.436,0,4.352
1835,04/30/18 07:00:00,20.03,1,99.6,21.06,1,19.99,0.436,0,4.352
1836,04/30/18 07:05:00,20.01,1,99.6,21.06,1,19.97,0.436,0,4.353
1837,04/30/18 07:10:00,20.01,1,99.8,21.03,1,20,0.436,0,4.353
1838,04/30/18 07:15:00,20.01,1,99.8,21.01,1,20,0.4367,0,4.353
1839,04/30/18 07:20:00,19.98,1,100,21.01,1,20.01,0.4367,0,4.353
1840,04/30/18 07:25:00,20.01,1,100,21.01,1,20.03,0.4367,0,4.353
1841,04/30/18 07:30:00,20.03,1,100,21.01,1,20.06,0.4367,0,4.355
1842,04/30/18 07:35:00,20.03,1,100,21.03,1,20.06,0.4367,0,4.353
1843,04/30/18 07:40:00,19.98,1,100,21.03,1,20.01,0.4367,0,4.355
1844,04/30/18 07:45:00,20.01,1,100,21.01,1,20.03,0.4367,0,4.355
1845,04/30/18 07:50:00,20.01,1,100,21.01,1,20.03,0.4367,0,4.355
1846,04/30/18 07:55:00,20.06,1,100,21.01,1,20.08,0.4367,0,4.353
1847,04/30/18 08:00:00,20.03,1,100,21.01,1,20.06,0.4367,0,4.353
1848,04/30/18 08:05:00,20.01,1,100,21.01,1,20.03,0.4367,0,4.353
1849,04/30/18 08:10:00,20.01,1,100,21.01,1,20.03,0.4367,0,4.353
1850,04/30/18 08:15:00,20.01,1,100,21.01,1,20.03,0.4367,0,4.353
1851,04/30/18 08:20:00,20.03,1,100,20.98,1,20.06,0.4367,0,4.352
1852,04/30/18 08:25:00,20.01,1,100,20.98,1,20.03,0.436,0,4.352
1853,04/30/18 08:30:00,20.01,1,100,20.98,1,20.03,0.4367,0,4.352
1854,04/30/18 08:35:00,19.98,1,100,20.98,1,20.01,0.4367,0,4.352
1855,04/30/18 08:40:00,19.98,1,100,20.98,1,20.01,0.4367,0,4.352
1856,04/30/18 08:45:00,19.98,1,100,20.98,1,20.01,0.4367,0,4.352
1857,04/30/18 08:50:00,19.98,1,100,20.98,1,20.01,0.436,0,4.352
1858,04/30/18 08:55:00,20.01,1,100,20.98,1,20.03,0.436,0,4.352
1859,04/30/18 09:00:00,20.03,1,100,20.98,1,20.06,0.4367,0,4.352
1860,04/30/18 09:05:00,19.96,1,100,20.98,1,19.99,0.4367,0,4.352
1861,04/30/18 09:10:00,19.96,1,100,20.98,1,19.99,0.436,0,4.352
1862,04/30/18 09:15:00,19.98,1,100,20.96,1,20.01,0.4367,0,4.352
1863,04/30/18 09:20:00,19.94,1,100,20.96,1,19.96,0.4367,0,4.352
1864,04/30/18 09:25:00,19.91,1,100,20.96,1,19.94,0.436,0,4.352
1865,04/30/18 09:30:00,19.89,1,100,20.96,1,19.92,0.4367,0,4.35
1866,04/30/18 09:35:00,19.96,1,100,20.94,1,19.99,0.4367,0,4.35
1867,04/30/18 09:40:00,19.94,1,100,20.94,1,19.96,0.436,0,4.35
1868,04/30/18 09:45:00,19.91,1,100,20.96,1,19.94,0.436,0,4.349
1869,04/30/18 09:50:00,19.96,1,100,20.96,1,19.99,0.436,0,4.349
1870,04/30/18 09:55:00,20.01,1,100,20.94,1,20.03,0.436,0,4.35
1871,04/30/18 10:00:00,19.96,1,100,20.94,1,19.99,0.436,0,4.35
1872,04/30/18 10:05:00,19.96,1,100,20.94,1,19.99,0.436,0,4.35
1873,04/30/18 10:10:00,19.94,1,100,20.94,1,19.96,0.436,0,4.349
1874,04/30/18 10:15:00,19.96,1,100,20.94,1,19.99,0.436,0,4.349
1875,04/30/18 10:20:00,19.91,1,100,20.94,1,19.94,0.436,0,4.349
1876,04/30/18 10:25:00,19.94,1,100,20.91,1,19.96,0.436,0,4.346
1877,04/30/18 10:30:00,19.91,1,100,20.91,1,19.94,0.436,0,4.325
1878,04/30/18 10:35:00,19.89,1,100,20.91,1,19.92,0.436,0,4.313
1879,04/30/18 10:40:00,19.96,1,100,20.91,1,19.99,0.4353,0,4.322
1880,04/30/18 10:45:00,19.98,1,100,20.91,1,20.01,0.436,0,4.326
1881,04/30/18 10:50:00,19.98,1,100,20.91,1,20.01,0.436,0,4.329
1882,04/30/18 10:55:00,19.94,1,100,20.91,1,19.96,0.436,0,4.332
1883,04/30/18 11:00:00,19.98,1,100,20.91,1,20.01,0.436,0,4.334
1884,04/30/18 11:05:00,19.91,1,100,20.91,1,19.94,0.436,0,4.335
1885,04/30/18 11:10:00,19.98,1,100,20.91,1,20.01,0.4353,0,4.337
1886,04/30/18 11:15:00,19.98,1,100,20.91,1,20.01,0.436,0,4.337
1887,04/30/18 11:20:00,19.91,1,100,20.91,1,19.94,0.436,0,4.337
1888,04/30/18 11:25:00,19.98,1,100,20.91,1,20.01,0.4353,0,4.338
1889,04/30/18 11:30:00,19.91,1,100,20.91,1,19.94,0.436,0,4.338
1890,04/30/18 11:35:00,19.89,1,100,20.89,1,19.92,0.4367,0,4.34
1891,04/30/18 11:40:00,19.91,1,100,20.91,1,19.94,0.4373,0,4.34
1892,04/30/18 11:45:00,19.96,1,100,20.91,1,19.99,0.4373,0,4.34
1893,04/30/18 11:50:00,19.96,1,100,20.89,1,19.99,0.4373,0,4.34
1894,04/30/18 11:55:00,19.86,1,100,20.91,1,19.89,0.4373,0,4.34
1895,04/30/18 12:00:00,19.86,1,100,20.91,1,19.89,0.4373,0,4.34
1896,04/30/18 12:05:00,19.94,1,100,20.91,1,19.96,0.4373,0,4.34
1897,04/30/18 12:10:00,19.89,1,100,20.91,1,19.92,0.4367,0,4.341
1898,04/30/18 12:15:00,19.89,1,100,20.91,1,19.92,0.4367,0,4.341
1899,04/30/18 12:20:00,19.84,1,100,20.91,1,19.87,0.4367,0,4.341
1900,04/30/18 12:25:00,19.86,1,100,20.91,1,19.89,0.4367,0,4.34
1901,04/30/18 12:30:00,19.96,1,100,20.91,1,19.99,0.4373,0,4.34
1902,04/30/18 12:35:00,19.89,1,100,20.91,1,19.92,0.4373,0,4.34
1903,04/30/18 12:40:00,19.82,1,100,20.91,1,19.84,0.438,0,4.34
1904,04/30/18 12:45:00,19.84,1,100,20.89,1,19.87,0.4387,0,4.34
1905,04/30/18 12:50:00,19.84,1,100,20.89,1,19.87,0.4394,0,4.34
1906,04/30/18 12:55:00,19.82,1,100,20.89,1,19.84,0.4394,0,4.34
1907,04/30/18 13:00:00,19.84,1,100,20.89,1,19.87,0.4408,0,4.34
1908,04/30/18 13:05:00,19.84,1,100,20.89,1,19.87,0.4408,0,4.34
1909,04/30/18 13:10:00,19.72,1,100,20.86,1,19.75,0.4408,0,4.34
1910,04/30/18 13:15:00,19.72,1,100,20.86,1,19.75,0.4416,0,4.34
1911,04/30/18 13:20:00,19.75,1,100,20.84,1,19.77,0.4416,0,4.34
1912,04/30/18 13:25:00,19.79,1,100,20.84,1,19.82,0.4408,0,4.34
1913,04/30/18 13:30:00,19.79,1,100,20.86,1,19.82,0.4416,0,4.34
1914,04/30/18 13:35:00,19.82,1,100,20.84,1,19.84,0.4416,0,4.34
1915,04/30/18 13:40:00,19.89,1,100,20.84,1,19.92,0.4416,0,4.34
1916,04/30/18 13:45:00,19.82,1,100,20.86,1,19.84,0.4416,0,4.34
1917,04/30/18 13:50:00,19.84,1,100,20.84,1,19.87,0.4416,0,4.34
1918,04/30/18 13:55:00,19.84,1,100,20.84,1,19.87,0.4416,0,4.34
1919,04/30/18 14:00:00,19.86,1,100,20.84,1,19.89,0.4423,0,4.34
1920,04/30/18 14:05:00,19.86,1,100,20.82,1,19.89,0.4423,0,4.34
1921,04/30/18 14:10:00,19.84,1,100,20.84,1,19.87,0.4423,0,4.34
1922,04/30/18 14:15:00,19.82,1,100,20.84,1,19.84,0.4423,0,4.34
1923,04/30/18 14:20:00,19.84,1,100,20.84,1,19.87,0.4423,0,4.34
1924,04/30/18 14:25:00,19.84,1,100,20.84,1,19.87,0.4416,0,4.332
1925,04/30/18 14:30:00,19.84,1,100,20.86,1,19.87,0.4416,0,4.313
1926,04/30/18 14:35:00,19.77,1,100,20.86,1,19.8,0.4416,0,4.295
1927,04/30/18 14:40:00,19.82,1,100,20.86,1,19.84,0.4416,0,4.308
1928,04/30/18 14:45:00,19.84,1,100,20.84,1,19.87,0.4416,0,4.316
1929,04/30/18 14:50:00,19.79,1,100,20.84,1,19.82,0.4416,0,4.319
1930,04/30/18 14:55:00,19.77,1,100,20.84,1,19.8,0.4416,0,4.322
1931,04/30/18 15:00:00,19.89,1,100,20.84,1,19.92,0.4416,0,4.325
1932,04/30/18 15:05:00,19.82,1,100,20.84,1,19.84,0.4416,0,4.326
1933,04/30/18 15:10:00,19.89,1,100,20.84,1,19.92,0.4408,0,4.328
1934,04/30/18 15:15:00,19.86,1,100,20.84,1,19.89,0.4416,0,4.329
1935,04/30/18 15:20:00,19.82,1,100,20.84,1,19.84,0.4408,0,4.329
1936,04/30/18 15:25:00,19.84,1,100,20.84,1,19.87,0.4408,0,4.331
1937,04/30/18 15:30:00,19.82,1,100,20.84,1,19.84,0.4408,0,4.332
1938,04/30/18 15:35:00,19.84,1,100,20.84,1,19.87,0.4408,0,4.332
1939,04/30/18 15:40:00,19.82,1,100,20.86,1,19.84,0.4408,0,4.332
1940,04/30/18 15:45:00,19.86,1,100,20.86,1,19.89,0.4408,0,4.334
1941,04/30/18 15:50:00,19.86,1,100,20.86,1,19.89,0.4408,0,4.334
1942,04/30/18 15:55:00,19.84,4,100,20.86,1,19.87,0.4401,0,4.334
1943,04/30/18 16:00:00,19.89,6,100,20.86,3,19.92,0.4408,0,4.334
1944,04/30/18 16:05:00,19.84,16,100,20.84,9,19.87,0.4401,0,4.337
1945,04/30/18 16:10:00,19.89,19,100,20.84,9,19.92,0.4401,0,4.343
1946,04/30/18 16:15:00,19.91,16,100,20.84,8,19.94,0.4401,0,4.35
1947,04/30/18 16:20:00,19.96,11,100,20.84,6,19.99,0.4401,0,4.356
1948,04/30/18 16:25:00,19.98,9,100,20.86,3,20.01,0.4401,0,4.359
1949,04/30/18 16:30:00,20.01,6,100,20.86,3,20.03,0.4401,0,4.359
1950,04/30/18 16:35:00,20.03,24,100,20.86,11,20.06,0.4401,0,4.359
1951,04/30/18 16:40:00,20.06,36,100,20.86,17,20.08,0.4401,0,4.365
1952,04/30/18 16:45:00,20.08,29,100,20.86,14,20.11,0.4401,0,4.376
1953,04/30/18 16:50:00,20.01,36,100,20.86,18,20.03,0.4416,0,4.385
1954,04/30/18 16:55:00,20.1,59,100,20.86,27,20.13,0.4394,0,4.398
1955,04/30/18 17:00:00,20.1,36,100,20.86,18,20.13,0.4401,0,4.414
1956,04/30/18 17:05:00,20.08,36,100,20.89,17,20.11,0.4394,0,4.43
1957,04/30/18 17:10:00,20.13,26,100,20.89,12,20.15,0.4394,0,4.438
1958,04/30/18 17:15:00,20.22,29,100,20.89,13,20.25,0.4394,0,4.441
1959,04/30/18 17:20:00,20.22,34,100,20.89,16,20.25,0.4394,0,4.433
1960,04/30/18 17:25:00,20.22,66,100,20.91,31,20.25,0.4394,0,4.426
1961,04/30/18 17:30:00,20.34,44,100,20.91,21,20.37,0.4394,0,4.418
1962,04/30/18 17:35:00,20.29,46,100,20.91,21,20.32,0.4394,0,4.412
1963,04/30/18 17:40:00,20.44,51,100,20.91,23,20.46,0.4394,0,4.408
1964,04/30/18 17:45:00,20.51,46,100,20.91,21,20.54,0.4394,0,4.403
1965,04/30/18 17:50:00,20.53,71,100,20.94,32,20.56,0.4394,0,4.398
1966,04/30/18 17:55:00,20.51,66,100,20.94,31,20.54,0.4394,0,4.411
1967,04/30/18 18:00:00,20.56,131,100,20.96,61,20.58,0.4394,0,4.439
1968,04/30/18 18:05:00,20.6,69,100,20.96,32,20.63,0.4394,0,4.459
1969,04/30/18 18:10:00,20.7,106,100,20.98,41,20.73,0.4387,0,4.46
1970,04/30/18 18:15:00,20.72,119,100,20.98,54,20.75,0.4394,0,4.447
1971,04/30/18 18:20:00,20.7,184,100,21.01,86,20.73,0.4387,0,4.441
